LCSC Part Number,Quoted Manufacturer,Quoted LCSC Part Number,Quoted Manufacturer Part Number,Quantity,Unit Price,Order Price,Quantity Available,Min\Mult Order Qty,RoHS,Part Match Confidence
C15849,Samsung Electro-Mechanics,C15849,CL10A105KB8NNNC,2,0.0051,0.01,8508109,100\100,yes,100%
C1525,Samsung Electro-Mechanics,C1525,CL05B104KO5NNNC,5,0.0011,0.01,70934657,100\100,yes,100%
C1547,FH (Guangdong Fenghua Advanced Tech),C1547,0402CG120J500NT,2,0.001,0.01,653768,100\100,yes,100%
C64898,MDD（Microdiode Electronics）,C64898,SM4007PL,66,0.0072,0.48,744228,100\100,yes,100%
C369159,Jinrui Electronic Materials Co.,C369159,JK-NSMD050-13.2V,1,0.0257,0.03,69045,20\20,yes,100%
C388632,XKB Connectivity,C388632,PJ-342B-TX-SMT,2,0.3502,0.70,8103,5\5,yes,100%
C165948,Korean Hroparts Elec,C165948,TYPE-C-31-M-12,1,0.2174,0.22,51500,5\5,yes,100%
C25905,UNI-ROYAL(Uniroyal Elec),C25905,0402WGF5101TCE,2,0.0006,0.01,1189638,100\100,yes,100%
C25900,UNI-ROYAL(Uniroyal Elec),C25900,0402WGF4701TCE,4,0.0005,0.01,226293,100\100,yes,100%
C25092,UNI-ROYAL(Uniroyal Elec),C25092,0402WGF220JTCE,2,0.0005,0.01,859338,100\100,yes,100%
C25744,UNI-ROYAL(Uniroyal Elec),C25744,0402WGF1002TCE,2,0.0006,0.01,5084835,100\100,yes,100%
C231329,Omron Electronics,C231329,B3U-1000P,1,0.3135,0.31,27616,5\5,yes,100%
C880115,Texas Instruments,C880115,TPD2S017DBVR,1,1.05,1.05,2936,1\1,yes,100%
C112161,Microchip Tech,C112161,ATMEGA32U4-MU,1,3.9566,3.96,947,1\1,yes,100%
C431146,YL(Failong Crystal),C431146,9S16000020,1,0.1218,0.12,3555,5\5,yes,100%
